SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)[C@H](CCN)n1cnc(c1)Cl,1/000001001,"InChI=1S/C17H18ClN5O4/c18-15-8-23(9-20-15)12(3-5-19)14-2-1-10(27-14)7-13(25)16-11(4-6-24)17(26)22-21-16/h1-2,4,8-9,12,24H,3,5-7,19H2,(H,22,26)/b11-4-/t12-/m0/s1",C17H18N5O4Cl,391,0.32,6.15,1.62,5.35,-170,4.248686927494223,1,CONCAT
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)CC[C@@H](c1cscc1)N,1/000001011,"InChI=1S/C18H19N3O4S/c19-15(11-6-8-26-10-11)4-3-12-1-2-13(25-12)9-16(23)17-14(5-7-22)18(24)21-20-17/h1-2,5-6,8,10,15,22H,3-4,7,9,19H2,(H,21,24)/b14-5-/t15-/m0/s1",C18H19N3O4S,373,0.54,5.98,2.84,3.98,-170,3.8991570926075503,1,CONCAT
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)CC[C@@H](C1=CSCC1)N,1/000001031,"InChI=1S/C18H21N3O4S/c19-15(11-6-8-26-10-11)4-3-12-1-2-13(25-12)9-16(23)17-14(5-7-22)18(24)21-20-17/h1-2,5,10,15,22H,3-4,6-9,19H2,(H,21,24)/b14-5-/t15-/m0/s1",C18H21N3O4S,375,0.33,5.94,2.76,3.98,-170,4.346683495933954,1,CONCAT
C#CC(=O)OC[C@H](CCc1oc(cc1)CC(=O)C1=NNC(=O)/C/1=C\CO)N,1/000001020,"InChI=1S/C18H19N3O6/c1-2-16(24)26-10-11(19)3-4-12-5-6-13(27-12)9-15(23)17-14(7-8-22)18(25)21-20-17/h1,5-7,11,22H,3-4,8-10,19H2,(H,21,25)/b14-7-/t11-/m0/s1",C18H19N3O6,373,-0.28,5.78,2.3,5.5,-170,4.2068899558343045,1,CONCAT
Sc1c(/C=C/C=C/[C@H](c2nncs2)O)cc(cc1ON)Br,15/000000234,"InChI=1S/C13H12BrN3O2S2/c14-9-5-8(12(20)11(6-9)19-15)3-1-2-4-10(18)13-17-16-7-21-13/h1-7,10,18,20H,15H2/b3-1+,4-2+/t10-/m1/s1",C13H12N3O2S2Br,386,2.66,5.76,-6.3,3.7,-190,4.285903145067304,1,CONCAT
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)/C=C/Nc1cccc2c1C(=O)NC2=O,1/000000999,"InChI=1S/C21H16N4O6/c26-9-7-14-18(24-25-20(14)29)16(27)10-12-5-4-11(31-12)6-8-22-15-3-1-2-13-17(15)21(30)23-19(13)28/h1-8,22,26H,9-10H2,(H,25,29)(H,23,28,30)/b8-6+,14-7-",C21H16N4O6,420,0.5,5.75,-0.23,6.74,-100,3.544765242063936,1,CONCAT
Sc1nnc([nH]1)[C@H](COC(=O)CNc1ncnc2c1cn[nH]2)N,1/000000699,"InChI=1S/C11H13N9O2S/c12-6(10-17-11(23)20-19-10)3-22-7(21)2-13-8-5-1-16-18-9(5)15-4-14-8/h1,4,6H,2-3,12H2,(H2,17,19,20,23)(H2,13,14,15,16,18)/t6-/m0/s1",C11H13N9O2S,335,1.12,5.74,1.19,3.58,-190,3.9350610257113736,1,CONCAT
Oc1c(OC(=O)c2nnc([nH]2)CCC[NH3+])cc(cc1)CN,17/000001158,"InChI=1S/C13H17N5O3/c14-5-1-2-11-16-12(18-17-11)13(20)21-10-6-8(7-15)3-4-9(10)19/h3-4,6,19H,1-2,5,7,14-15H2,(H,16,17,18)/p+1",C13H18N5O3,292,0.93,5.72,0.13,3.58,0,3.5143750415534205,1,CONCAT
Oc1cc(cc(c1CC/C=C/C[NH3+])N(=O)=O)NC(=O)Cc1n[nH]nc1,17/000001600,"InChI=1S/C15H18N6O4/c16-5-3-1-2-4-12-13(21(24)25)6-10(7-14(12)22)18-15(23)8-11-9-17-20-19-11/h1,3,6-7,9,22H,2,4-5,8,16H2,(H,18,23)(H,17,19,20)/p+1/b3-1+",C15H19N6O4,347,1.38,5.71,-2.19,3.58,-60,3.4913758515612585,1,CONCAT
Sc1c(/C=C/C=C/[C@H](CC)O)cc(cc1ON)Br,15/000000256,"InChI=1S/C13H16BrNO2S/c1-2-11(16)6-4-3-5-9-7-10(14)8-12(17-15)13(9)18/h3-8,11,16,18H,2,15H2,1H3/b5-3+,6-4+/t11-/m0/s1",C13H16NO2SBr,330,2.68,5.69,-6.22,2.35,-190,3.9226164560949472,1,CONCAT
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)[C@H](C(=C)c1ccccc1)O,1/000001018,"InChI=1S/C20H18N2O5/c1-12(13-5-3-2-4-6-13)19(25)17-8-7-14(27-17)11-16(24)18-15(9-10-23)20(26)22-21-18/h2-9,19,23,25H,1,10-11H2,(H,22,26)/b15-9-/t19-/m0/s1",C20H18N2O5,366,0.93,5.63,0.58,3.84,-150,3.842480854619729,1,CONCAT
O=C(C/C=C/Cc1ncnc(n1)/C=C\CCC[C@@H](C)N)NCCc1ccc(cc1)Cl,22/000000015,"InChI=1S/C23H30ClN5O/c1-18(25)7-3-2-4-8-21-27-17-28-22(29-21)9-5-6-10-23(30)26-16-15-19-11-13-20(24)14-12-19/h4-6,8,11-14,17-18H,2-3,7,9-10,15-16,25H2,1H3,(H,26,30)/b6-5+,8-4-/t18-/m1/s1",C23H30N5OCl,427,2.59,5.62,10.33,8.12,-170,3.5016415043731133,1,CONCAT
OP(=O)(OC[C@@H](c1cc(Cl)c(c(c1)/C=C\C)Cl)C(=O)OC/C=C\NCc1ncoc1)O,8/000000055,"InChI=1S/C19H21Cl2N2O7P/c1-2-4-13-7-14(8-17(20)18(13)21)16(11-30-31(25,26)27)19(24)29-6-3-5-22-9-15-10-28-12-23-15/h2-5,7-8,10,12,16,22H,6,9,11H2,1H3,(H2,25,26,27)/b4-2-,5-3-/t16-/m0/s1",C19H21N2O7PCl2,490,1.89,5.6,2.08,6.05,-190,4.172950423895639,1,CONCAT
Oc1c(OC(=O)c2nnc([nH]2)CCC)cc(cc1)[C@H](Cc1sccn1)N,17/000001330,"InChI=1S/C17H19N5O3S/c1-2-3-14-20-16(22-21-14)17(24)25-13-8-10(4-5-12(13)23)11(18)9-15-19-6-7-26-15/h4-8,11,23H,2-3,9,18H2,1H3,(H,20,21,22)/t11-/m0/s1",C17H19N5O3S,373,2.3,5.56,-1.62,6.45,-170,3.5712427474932067,1,CONCAT
ONC/C=C\C[C@](CCCl)(Cc1nnsc1)O,1/000000832,"InChI=1S/C10H16ClN3O2S/c11-5-4-10(15,3-1-2-6-12-16)7-9-8-17-14-13-9/h1-2,8,12,15-16H,3-7H2/b2-1-/t10-/m0/s1",C10H16N3O2SCl,277,2.63,5.52,-0.88,3.58,-150,4.441951383529146,1,CONCAT
O[C@@H](c1cc(Cl)ccc1O)C1=CN[C@@H](N1)C,11/000000006,"InChI=1S/C11H13ClN2O2/c1-6-13-5-9(14-6)11(16)8-4-7(12)2-3-10(8)15/h2-6,11,13-16H,1H3/t6?,11-/m0/s1",C11H12N2O2Cl,239,2.03,5.5,5.08,2.22,-170,4.048494688176955,1,CONCAT
OC(=O)/C=C\c1ncc(o1)c1c[nH]c(c1)CCc1ccc(cc1)O,4/000000007,"InChI=1S/C18H16N2O4/c21-15-5-2-12(3-6-15)1-4-14-9-13(10-19-14)16-11-20-17(24-16)7-8-18(22)23/h2-3,5-11,19,21H,1,4H2,(H,22,23)/b8-7-",C18H16N2O4,324,1.95,5.48,-2.53,3.58,-120,2.8921451785719583,1,CONCAT
Oc1c(OC(=O)COCN)ccc(c1n1cnnc1)C[NH3+],17/000000256,"InChI=1S/C12H15N5O4/c13-3-8-1-2-9(21-10(18)4-20-5-14)12(19)11(8)17-6-15-16-7-17/h1-2,6-7,19H,3-5,13-14H2/p+1",C12H16N5O4,294,0.26,5.48,-3.0,20.6,-120,3.7096222384243465,1,CONCAT
Oc1c(OC(=O)c2nnc([nH]2)CCC)cccc1NC(=O)c1occc1,17/000000983,"InChI=1S/C17H16N4O5/c1-2-5-13-19-15(21-20-13)17(24)26-11-7-3-6-10(14(11)22)18-16(23)12-8-4-9-25-12/h3-4,6-9,22H,2,5H2,1H3,(H,18,23)(H,19,20,21)",C17H16N4O5,356,2.68,5.46,-1.32,4.94,-60,2.8613145206486923,1,CONCAT
Oc1c(OC(=O)c2nnc([nH]2)CCCCN)ccc(c1)CC#C/C=C/C,17/000001072,"InChI=1S/C19H22N4O3/c1-2-3-4-5-8-14-10-11-16(15(24)13-14)26-19(25)18-21-17(22-23-18)9-6-7-12-20/h2-3,10-11,13,24H,6-9,12,20H2,1H3,(H,21,22,23)/b3-2+",C19H22N4O3,354,3.47,5.46,-0.46,6.45,-80,3.4114746038087755,1,CONCAT
Oc1c(OC(=O)c2nnc([nH]2)CCC)cc(c(c1)OCCN)CN,17/000001013,"InChI=1S/C15H21N5O4/c1-2-3-13-18-14(20-19-13)15(22)24-12-6-9(8-17)11(7-10(12)21)23-5-4-16/h6-7,21H,2-5,8,16-17H2,1H3,(H,18,19,20)",C15H21N5O4,335,1.27,5.46,-3.27,5.08,-60,3.1069533550807193,1,CONCAT
OC(=O)Cc1nnc([nH]1)Cc1nc(O)c2c(n1)[nH]nn2,28/000000041,"InChI=1S/C9H8N8O3/c18-6(19)2-5-10-4(13-14-5)1-3-11-8-7(9(20)12-3)15-17-16-8/h1-2H2,(H,18,19)(H,10,13,14)(H2,11,12,15,16,17,20)",C9H8N8O3,276,0.21,5.44,1.01,24.0,-40,3.797597576767956,1,CONCAT
Sc1c(/C=C/C=C/[C@H](c2ocnc2)O)cc(cc1ON)Br,15/000000295,"InChI=1S/C14H13BrN2O3S/c15-10-5-9(14(21)12(6-10)20-16)3-1-2-4-11(18)13-7-17-8-19-13/h1-8,11,18,21H,16H2/b3-1+,4-2+/t11-/m1/s1",C14H13N2O3SBr,369,1.21,5.44,-5.75,3.7,-190,4.236613184180732,1,CONCAT
Oc1c(OC(=O)c2nnc([nH]2)CCCCN)cccc1c1[nH]ncc1C,17/000000845,"InChI=1S/C17H20N6O3/c1-10-9-19-22-14(10)11-5-4-6-12(15(11)24)26-17(25)16-20-13(21-23-16)7-2-3-8-18/h4-6,9,24H,2-3,7-8,18H2,1H3,(H,19,22)(H,20,21,23)",C17H20N6O3,356,3.03,5.44,0.76,6.45,-140,3.19057418800836,1,CONCAT
ON[C@H](CCCCCCCS)C1=CC(=O)CO1,1/000000033,"InChI=1S/C12H21NO3S/c14-10-8-12(16-9-10)11(13-15)6-4-2-1-3-5-7-17/h8,11,13,15,17H,1-7,9H2/t11-/m1/s1",C12H21NO3S,259,2.27,5.39,1.47,2.48,-150,3.905692729682991,1,CONCAT
O=NCC(=O)OC[C@@H](c1nnc([nH]1)S)N,1/000000708,"InChI=1S/C6H9N5O3S/c7-3(2-14-4(12)1-8-13)5-9-6(15)11-10-5/h3H,1-2,7H2,(H2,9,10,11,15)/t3-/m0/s1",C6H9N5O3S,231,-0.35,5.39,5.31,2.22,-150,4.428612549948417,1,CONCAT
Sc1c(/C=C/C=C/[C@H](c2sncn2)O)cc(cc1ON)Br,15/000000278,"InChI=1S/C13H12BrN3O2S2/c14-9-5-8(12(20)11(6-9)19-15)3-1-2-4-10(18)13-16-7-17-21-13/h1-7,10,18,20H,15H2/b3-1+,4-2+/t10-/m1/s1",C13H12N3O2S2Br,386,1.12,5.39,-6.04,3.7,-190,4.393877330204201,1,CONCAT
Oc1c(OC(=O)c2nc(oc2)CO)cccc1c1cc[nH]c1,17/000001185,"InChI=1S/C15H12N2O5/c18-7-13-17-11(8-21-13)15(20)22-12-3-1-2-10(14(12)19)9-4-5-16-6-9/h1-6,8,16,18-19H,7H2",C15H12N2O5,300,1.13,5.38,-0.2,3.58,-120,2.9139013791647788,1,CONCAT
OC(=O)Cc1n[nH]nc1[C@@H](CNCCS)O,1/000000275,"InChI=1S/C8H14N4O3S/c13-6(4-9-1-2-16)8-5(3-7(14)15)10-12-11-8/h6,9,13,16H,1-4H2,(H,14,15)(H,10,11,12)/t6-/m1/s1",C8H14N4O3S,246,-0.0,5.38,4.52,4.81,-150,3.782509588225732,1,CONCAT
NN[C@H](/C=C/N(=O)=O)c1nnco1,26/000000066,"InChI=1S/C5H7N5O3/c6-8-4(1-2-10(11)12)5-9-7-3-13-5/h1-4,8H,6H2/b2-1+/t4-/m1/s1",C5H7N5O3,185,-0.02,5.37,7.31,2.22,-150,4.511592820928185,1,CONCAT
ON[C@H](c1n[nH]c(n1)COC(=O)c1cccc(c1)C)S,1/000000782,"InChI=1S/C12H14N4O3S/c1-7-3-2-4-8(5-7)12(17)19-6-9-13-10(15-14-9)11(20)16-18/h2-5,11,16,18,20H,6H2,1H3,(H,13,14,15)/t11-/m0/s1",C12H14N4O3S,294,2.02,5.37,-1.26,21.4,-170,3.3214485366404674,1,CONCAT
