SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
ON[C@H](c1coc(c1)CC(=O)OCC=C)S;1/000000520;InChI=1S/C10H13NO4S/c1-2-3-14-9(12)5-8-4-7(6-15-8)10(16)11-13/h2,4,6,10-11,13,16H,1,3,5H2/t10-/m0/s1;C10H13NO4S;243;0.88;4.08;-2.02;4.81;-150
ON[C@H](c1n[nH]c(n1)/C=C/CNCN)S;1/000000209;InChI=1S/C7H14N6OS/c8-4-9-3-1-2-5-10-6(12-11-5)7(15)13-14/h1-2,7,9,13-15H,3-4,8H2,(H,10,11,12)/b2-1+/t7-/m0/s1;C7H14N6OS;230;-0.38;4.37;-0.60;3.58;-150
ONCC(=O)Cc1nnc(s1)CC(F)F;1/000000234;InChI=1S/C7H9F2N3O2S/c8-5(9)2-7-12-11-6(15-7)1-4(13)3-10-14/h5,10,14H,1-3H2;C7H9N3O2SF2;237;0.69;4.07;-1.07;2.22;-150
ON[C@H](c1n[nH]c(n1)COC(=O)c1cccc(c1)C)S;1/000000782;InChI=1S/C12H14N4O3S/c1-7-3-2-4-8(5-7)12(17)19-6-9-13-10(15-14-9)11(20)16-18/h2-5,11,16,18,20H,6H2,1H3,(H,13,14,15)/t11-/m0/s1;C12H14N4O3S;294;2.02;5.37;-1.26;21.40;-170
Oc1ccccc1C(=C)COC(=O)C[C@H](C)c1nnc([nH]1)S;1/000001063;InChI=1S/C15H17N3O3S/c1-9(14-16-15(22)18-17-14)7-13(20)21-8-10(2)11-5-3-4-6-12(11)19/h3-6,9,19H,2,7-8H2,1H3,(H2,16,17,18,22)/t9-/m0/s1;C15H17N3O3S;319;3.39;4.30;0.73;5.08;-170
OC/C(=C/Cc1nnc(s1)CC(=O)[C@H](c1n[nH]cc1Br)NO)/C=C;1/000000762;InChI=1S/C14H16BrN5O3S/c1-2-8(7-21)3-4-11-17-18-12(24-11)5-10(22)14(20-23)13-9(15)6-16-19-13/h2-3,6,14,20-21,23H,1,4-5,7H2,(H,16,19)/b8-3+/t14-/m1/s1;C14H16N5O3SBr;414;0.88;4.65;0.05;3.84;-190
ONCC(=O)Cc1nnc(s1)CC(F)F;1/000000238;InChI=1S/C7H9F2N3O2S/c8-5(9)2-7-12-11-6(15-7)1-4(13)3-10-14/h5,10,14H,1-3H2;C7H9N3O2SF2;237;0.69;4.03;-2.11;2.22;-170
ONCC(=O)Cc1nnc(s1)[C@H](CC)C(=O)O;1/000000294;InChI=1S/C9H13N3O4S/c1-2-6(9(14)15)8-12-11-7(17-8)3-5(13)4-10-16/h6,10,16H,2-4H2,1H3,(H,14,15)/t6-/m0/s1;C9H13N3O4S;259;-0.14;4.14;-1.09;3.72;-170
ONC/C=C\C[C@H](CNCC)O;1/000000417;InChI=1S/C8H18N2O2/c1-2-9-7-8(11)5-3-4-6-10-12/h3-4,8-12H,2,5-7H2,1H3/b4-3-/t8-/m1/s1;C8H18N2O2;174;-0.11;4.20;-1.91;2.22;-170
ONCC(=O)Cc1nnc(s1)[C@@H]1CC[NH2+]1;1/000000189;InChI=1S/C8H12N4O2S/c13-5(4-10-14)3-7-11-12-8(15-7)6-1-2-9-6/h6,9-10,14H,1-4H2/p+1/t6-/m0/s1;C8H13N4O2S;229;-0.37;4.15;-2.04;2.22;-190
