SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OCC#CCNc1nc(ncc1)CCC1=C[C@@H](NN1)CCOC(=O)C,6/000000147,"InChI=1S/C17H23N5O3/c1-13(24)25-11-7-15-12-14(21-22-15)4-5-16-19-9-6-17(20-16)18-8-2-3-10-23/h6,9,12,15,21-23H,4-5,7-8,10-11H2,1H3,(H,18,19,20)/t15-/m0/s1",C17H23N5O3,345,1.03,6.14,8.72,4.94,-170,4.147431230172925,1
OCC#CCNc1nc(ncc1)CCC1=C[C@@H](NN1)CCC,6/000000110,"InChI=1S/C16H23N5O/c1-2-5-13-12-14(21-20-13)6-7-15-18-10-8-16(19-15)17-9-3-4-11-22/h8,10,12-13,20-22H,2,5-7,9,11H2,1H3,(H,17,18,19)/t13-/m0/s1",C16H23N5O,301,1.78,5.57,10.89,3.58,-170,4.183224505029193,1
OCC#CCNc1nc(ncc1)CC/C=C\[C@H]1SCCN1,6/000000169,"InChI=1S/C15H20N4OS/c20-11-4-3-8-16-14-7-9-17-13(19-14)5-1-2-6-15-18-10-12-21-15/h2,6-7,9,15,18,20H,1,5,8,10-12H2,(H,16,17,19)/b6-2-/t15-/m1/s1",C15H20N4OS,304,0.75,5.42,6.94,3.58,-150,4.180131058597186,1
OCC#CCNc1nc(ncc1)CCC1=C[C@@H](NN1)/C=C/C,6/000000151,"InChI=1S/C16H21N5O/c1-2-5-13-12-14(21-20-13)6-7-15-18-10-8-16(19-15)17-9-3-4-11-22/h2,5,8,10,12-13,20-22H,6-7,9,11H2,1H3,(H,17,18,19)/b5-2+/t13-/m0/s1",C16H21N5O,299,1.33,5.41,9.87,3.58,-170,4.3590230627215,1
OCC#CCNc1nc(ncc1)CCSc1nncs1,6/000000047,"InChI=1S/C12H13N5OS2/c18-7-2-1-5-13-10-3-6-14-11(16-10)4-8-19-12-17-15-9-20-12/h3,6,9,18H,4-5,7-8H2,(H,13,14,16)",C12H13N5OS2,307,1.65,5.4,7.94,3.58,0,3.2440524316365487,1
OCC#CCNc1nc(ncc1)CCC1=C[C@@H](NN1)CCCNCN,6/000000101,"InChI=1S/C17H27N7O/c18-13-19-8-3-4-14-12-15(24-23-14)5-6-16-21-10-7-17(22-16)20-9-1-2-11-25/h7,10,12,14,19,23-25H,3-6,8-9,11,13,18H2,(H,20,21,22)/t14-/m0/s1",C17H27N7O,345,0.33,5.39,9.48,6.45,-150,4.324901409308858,1
c1ccc2c(c1)n(nc2)C(=O)NC1=NC[C@H](O1)C[NH3+],30/000000004,"InChI=1S/C12H13N5O2/c13-5-9-7-14-11(19-9)16-12(18)17-10-4-2-1-3-8(10)6-15-17/h1-4,6,9H,5,7,13H2,(H,14,16,18)/p+1/t9-/m1/s1",C12H14N5O2,260,0.66,5.36,1.2,3.58,-190,3.995325161297023,1
OCC#CCNc1nc(ncc1)CCC1=C[C@@H](NN1)CNC(=O)C,6/000000142,"InChI=1S/C16H22N6O2/c1-12(24)19-11-14-10-13(21-22-14)4-5-15-18-8-6-16(20-15)17-7-2-3-9-23/h6,8,10,14,21-23H,4-5,7,9,11H2,1H3,(H,19,24)(H,17,18,20)/t14-/m1/s1",C16H22N6O2,330,0.14,5.36,9.7,4.94,-170,4.143760624073256,1
S[C@H](C)/C=C\CCc1nccc(n1)NCC#CCO,6/000000135,"InChI=1S/C14H19N3OS/c1-12(19)6-2-3-7-13-16-10-8-14(17-13)15-9-4-5-11-18/h2,6,8,10,12,18-19H,3,7,9,11H2,1H3,(H,15,16,17)/b6-2-/t12-/m1/s1",C14H19N3OS,277,1.39,5.34,7.19,3.58,-170,3.962662270854132,1
OCC#CCNc1nc(ncc1)C[C@@H](C=C)O,6/000000162,"InChI=1S/C12H15N3O2/c1-2-10(17)9-12-14-7-5-11(15-12)13-6-3-4-8-16/h2,5,7,10,16-17H,1,6,8-9H2,(H,13,14,15)/t10-/m1/s1",C12H15N3O2,233,-0.12,5.22,8.95,3.58,-150,3.78382349891376,1
OCC#CCNc1nc(ncc1)CCOC(=O)C,6/000000038,"InChI=1S/C12H15N3O3/c1-10(17)18-9-5-12-14-7-4-11(15-12)13-6-2-3-8-16/h4,7,16H,5-6,8-9H2,1H3,(H,13,14,15)",C12H15N3O3,249,-0.1,5.2,9.26,3.58,-20,2.9038181409240416,1
OC(=O)C1=C[C@@H](CC=C1)CCOC(=O)C(=S)NCC=C,26/000000001,"InChI=1S/C14H17NO4S/c1-2-7-15-12(20)14(18)19-8-6-10-4-3-5-11(9-10)13(16)17/h2-3,5,9-10H,1,4,6-8H2,(H,15,20)(H,16,17)/t10-/m0/s1",C14H17NO4S,295,1.29,5.16,6.99,6.72,-150,3.9197791460310754,1
OCC#CCCc1ccn(c1)[C@@H](CO)CF,6/000000177,"InChI=1S/C12H16FNO2/c13-8-12(10-16)14-6-5-11(9-14)4-2-1-3-7-15/h5-6,9,12,15-16H,2,4,7-8,10H2/t12-/m1/s1",C12H16NO2F,225,0.83,5.15,9.35,3.58,-150,3.9611992385753823,1
NN[C@](CBr)(c1nc(n[nH]1)CN)C=C,17/000000014,"InChI=1S/C7H13BrN6/c1-2-7(4-8,14-10)6-11-5(3-9)12-13-6/h2,14H,1,3-4,9-10H2,(H,11,12,13)/t7-/m1/s1",C7H13N6Br,261,-0.04,5.14,0.85,17.6,-150,4.70535086308923,1
Sc1nnc(o1)[C@H](c1nnc[nH]1)N,24/000000012,"InChI=1S/C5H6N6OS/c6-2(3-7-1-8-9-3)4-10-11-5(13)12-4/h1-2H,6H2,(H,11,13)(H,7,8,9)/t2-/m0/s1",C5H6N6OS,198,1.07,5.1,5.84,20.1,-150,4.540231802217166,1
OP(=O)(OC/C=C/c1cccc(c1CN)I)O,18/000000052,"InChI=1S/C10H13INO4P/c11-10-5-1-3-8(9(10)7-12)4-2-6-16-17(13,14)15/h1-5H,6-7,12H2,(H2,13,14,15)/b4-2+",C10H13NO4PI,369,0.77,5.1,-1.57,2.35,0,3.1423047089308564,1
OCC#CCNc1nc(ncc1)CC[C@H](CC)N,6/000000004,"InChI=1S/C13H20N4O/c1-2-11(14)5-6-12-16-9-7-13(17-12)15-8-3-4-10-18/h7,9,11,18H,2,5-6,8,10,14H2,1H3,(H,15,16,17)/t11-/m0/s1",C13H20N4O,248,0.27,5.08,8.74,3.58,-170,3.5018316190832204,1
O[C@H](C1=Nc2cc[nH]c2CN1)c1nnc[nH]1,24/000000007,"InChI=1S/C9H10N6O/c16-7(9-12-4-13-15-9)8-11-3-6-5(14-8)1-2-10-6/h1-2,4,7,10,16H,3H2,(H,11,14)(H,12,13,15)/t7-/m1/s1",C9H10N6O,218,0.03,5.08,8.41,19.9,-190,4.728603755760327,1
NNCC/C=C/[C@H](c1nnc[nH]1)N,24/000000074,"InChI=1S/C7H14N6/c8-6(3-1-2-4-11-9)7-10-5-12-13-7/h1,3,5-6,11H,2,4,8-9H2,(H,10,12,13)/b3-1+/t6-/m1/s1",C7H14N6,182,-0.2,5.08,7.26,3.58,-150,4.580879619264983,1
Sc1nnc(o1)CC[C@H](NCS(=O)(=O)C)N,23/000000047,"InChI=1S/C7H14N4O3S2/c1-16(12,13)4-9-5(8)2-3-6-10-11-7(15)14-6/h5,9H,2-4,8H2,1H3,(H,11,15)/t5-/m0/s1",C7H14N4O3S2,266,0.22,5.05,-1.96,2.22,-190,4.018251188485937,1
Sc1nnc(o1)/C=C/[C@H](c1nnc[nH]1)O,24/000000022,"InChI=1S/C7H7N5O2S/c13-4(6-8-3-9-11-6)1-2-5-10-12-7(15)14-5/h1-4,13H,(H,12,15)(H,8,9,11)/b2-1+/t4-/m1/s1",C7H7N5O2S,225,1.74,5.03,6.81,2.22,-150,4.699747102066746,1
OCC#CCCc1ccn(c1)[C@H](CF)C(=O)O,6/000000121,"InChI=1S/C12H14FNO3/c13-8-11(12(16)17)14-6-5-10(9-14)4-2-1-3-7-15/h5-6,9,11,15H,2,4,7-8H2,(H,16,17)/t11-/m1/s1",C12H13NO3F,238,0.59,5.03,9.73,3.58,-150,3.8465804547239086,1
O[C@H](C=C)C#CCc1nnc([nH]1)S,3/000000011,"InChI=1S/C8H9N3OS/c1-2-6(12)4-3-5-7-9-8(13)11-10-7/h2,6,12H,1,5H2,(H2,9,10,11,13)/t6-/m1/s1",C8H9N3OS,195,1.59,5.03,1.88,2.22,-150,4.906800513235877,1
OCC#CCNCC/C=C\[C@H]1SCNCC1,6/000000198,"InChI=1S/C12H20N2OS/c15-10-4-3-8-13-7-2-1-5-12-6-9-14-11-16-12/h1,5,12-15H,2,6-11H2/b5-1-/t12-/m1/s1",C12H20N2OS,240,0.25,4.99,10.63,3.58,-150,4.467733379328247,1
OCC#CCNc1nc(ncc1)CCC1=CCNN1,6/000000069,"InChI=1S/C13H17N5O/c19-10-2-1-7-14-13-6-8-15-12(17-13)4-3-11-5-9-16-18-11/h5-6,8,16,18-19H,3-4,7,9-10H2,(H,14,15,17)",C13H17N5O,259,0.54,4.97,10.45,3.58,0,3.661805262205837,1
OCC#CCNc1nc(ncc1)CCCNOC[C@@H]1SCCCC1,6/000000194,"InChI=1S/C17H26N4O2S/c22-12-3-2-9-18-17-8-11-19-16(21-17)7-5-10-20-23-14-15-6-1-4-13-24-15/h8,11,15,20,22H,1,4-7,9-10,12-14H2,(H,18,19,21)/t15-/m1/s1",C17H26N4O2S,350,2.09,4.96,6.71,4.94,-150,3.938110956166147,1
OC(=O)CNC(=O)C1=CC[C@H](CO1)S,30/000000049,"InChI=1S/C8H11NO4S/c10-7(11)3-9-8(12)6-2-1-5(14)4-13-6/h2,5,14H,1,3-4H2,(H,9,12)(H,10,11)/t5-/m1/s1",C8H11NO4S,217,0.1,4.95,2.59,2.22,-150,3.7783763691621033,1
OCCc1nnc(o1)[C@@](C)(NN)Br,17/000000041,"InChI=1S/C6H11BrN4O2/c1-6(7,11-8)5-10-9-4(13-5)2-3-12/h11-12H,2-3,8H2,1H3/t6-/m1/s1",C6H11N4O2Br,251,0.16,4.94,1.89,16.5,-170,3.987816667082031,1
OCC#CCNc1nc(ncc1)CCC1=C[C@@H](NN1)CC,6/000000105,"InChI=1S/C15H21N5O/c1-2-12-11-13(20-19-12)5-6-14-17-9-7-15(18-14)16-8-3-4-10-21/h7,9,11-12,19-21H,2,5-6,8,10H2,1H3,(H,16,17,18)/t12-/m0/s1",C15H21N5O,287,1.42,4.94,10.48,3.58,-170,4.231661193243079,1
OCC#CCNc1nc(ncc1)CCOc1[nH]ncc1,6/000000068,"InChI=1S/C13H15N5O2/c19-9-2-1-6-14-11-3-7-15-12(17-11)5-10-20-13-4-8-16-18-13/h3-4,7-8,19H,5-6,9-10H2,(H,16,18)(H,14,15,17)",C13H15N5O2,273,0.86,4.93,9.06,3.58,0,3.325495977920772,1
SC/C=C\[C@@H](NOc1cccc(c1CN)I)Br,18/000000051,"InChI=1S/C11H14BrIN2OS/c12-11(5-2-6-17)15-16-10-4-1-3-9(13)8(10)7-14/h1-5,11,15,17H,6-7,14H2/b5-2-/t11-/m1/s1",C11H14N2OSBrI,429,4.04,4.91,-3.49,16.3,-150,4.438777508733729,1
OC(=O)c1nonc1C(=O)OCCNc1ncc(cc1)CO,13/000000043,"InChI=1S/C12H12N4O6/c17-6-7-1-2-8(14-5-7)13-3-4-21-12(20)10-9(11(18)19)15-22-16-10/h1-2,5,17H,3-4,6H2,(H,13,14)(H,18,19)",C12H12N4O6,308,0.62,4.91,3.57,3.72,0,2.67550152095847,1
Sc1nnc([nH]1)c1ccc(cc1)CC(=O)CN,1/000000009,"InChI=1S/C11H12N4OS/c12-6-9(16)5-7-1-3-8(4-2-7)10-13-11(17)15-14-10/h1-4H,5-6,12H2,(H2,13,14,15,17)",C11H12N4OS,248,1.98,4.91,-4.63,17.5,-180,2.926569466455941,1
C#C[C@@](CCCc1nccc(n1)NCC#CCO)(C)O,6/000000020,"InChI=1S/C15H19N3O2/c1-3-15(2,20)9-6-7-13-17-11-8-14(18-13)16-10-4-5-12-19/h1,8,11,19-20H,6-7,9-10,12H2,2H3,(H,16,17,18)/t15-/m1/s1",C15H19N3O2,273,0.36,4.9,9.15,5.09,-170,3.8209757344426647,1
O[C@@H](COCCc1nc2c([nH]1)cc(c(c2)Cl)Cl)C1=COCCO1,4/000000041,"InChI=1S/C15H16Cl2N2O4/c16-9-5-11-12(6-10(9)17)19-15(18-11)1-2-21-7-13(20)14-8-22-3-4-23-14/h5-6,8,13,20H,1-4,7H2,(H,18,19)/t13-/m0/s1",C15H16N2O4Cl2,358,2.13,4.9,2.18,21.3,-190,3.5440393473896945,1
