SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
N(C(=O)Cc1nnc(o1)C/C=C/c1cccc(c1)c1nc(sc1)NCCl)N,29/000000133,"InChI=1S/C17H17ClN6O2S/c18-10-20-17-21-13(9-27-17)12-5-1-3-11(7-12)4-2-6-15-23-24-16(26-15)8-14(25)22-19/h1-5,7,9H,6,8,10,19H2,(H,20,21)(H,22,25)/b4-2+",C17H17N6O2SCl,404,2.42,6.38,5.24,5.08,-120,3.060366790240389,1
O[C@@H](c1snnc1)C#CC/C=C/Cc1nnc(o1)CC(=O)NN,29/000000343,"InChI=1S/C13H14N6O3S/c14-16-11(21)7-13-18-17-12(22-13)6-4-2-1-3-5-9(20)10-8-15-19-23-10/h2,4,8-9,20H,1,6-7,14H2,(H,16,21)/b4-2+/t9-/m1/s1",C13H14N6O3S,334,0.25,6.08,2.42,6.6,-150,4.3226337529841015,1
NNC(=O)Cc1nnc(o1)C/C=C/c1nnc2n1ncs2,29/000000009,"InChI=1S/C10H10N8O2S/c11-13-7(19)4-9-16-15-8(20-9)3-1-2-6-14-17-10-18(6)12-5-21-10/h1-2,5H,3-4,11H2,(H,13,19)/b2-1+",C10H10N8O2S,306,1.08,6.02,5.77,5.08,0,3.5829296229542367,1
N(C(=O)Cc1nnc(o1)C/C=C/CC[NH2+]C[C@H]1c2ccccc2C1)N,29/000000142,"InChI=1S/C18H23N5O2/c19-21-16(24)11-18-23-22-17(25-18)8-2-1-5-9-20-12-14-10-13-6-3-4-7-15(13)14/h1-4,6-7,14,20H,5,8-12,19H2,(H,21,24)/p+1/b2-1+/t14-/m0/s1",C18H24N5O2,342,1.18,5.97,3.13,5.24,-190,4.094653147981143,1
N(C(=O)Cc1nnc(o1)C/C=C/c1cn[nH]c1N)N,29/000000044,"InChI=1S/C10H13N7O2/c11-10-6(5-13-17-10)2-1-3-8-15-16-9(19-8)4-7(18)14-12/h1-2,5H,3-4,12H2,(H,14,18)(H3,11,13,17)/b2-1+",C10H13N7O2,263,-0.1,5.69,7.51,3.72,0,3.327807917883492,1
OC(=O)[C@@H](N)C#Cc1nnc([nH]1)COCc1ccccc1C,24/000000142,"InChI=1S/C15H16N4O3/c1-10-4-2-3-5-11(10)8-22-9-14-17-13(18-19-14)7-6-12(16)15(20)21/h2-5,12H,8-9,16H2,1H3,(H,20,21)(H,17,18,19)/t12-/m0/s1",C15H16N4O3,300,1.75,5.61,-2.26,3.58,-170,3.767037594359217,1
O[C@H](C)/C=C/Cc1nnc(o1)CC(=O)NN,29/000000075,"InChI=1S/C9H14N4O3/c1-6(14)3-2-4-8-12-13-9(16-8)5-7(15)11-10/h2-3,6,14H,4-5,10H2,1H3,(H,11,15)/b3-2+/t6-/m1/s1",C9H14N4O3,226,-0.36,5.58,7.18,3.72,-170,3.5807805672467117,1
OCC[C@@H](C(=O)C(=C)c1ncc(cc1)Oc1ccccc1)O,19/000000032,"InChI=1S/C17H17NO4/c1-12(17(21)16(20)9-10-19)15-8-7-14(11-18-15)22-13-5-3-2-4-6-13/h2-8,11,16,19-20H,1,9-10H2/t16-/m0/s1",C17H17NO4,299,1.33,5.54,1.96,16.2,-150,2.991472085674353,1
NNC(=O)Cc1nnc(o1)C/C=C/[C@@H]1C=CCCC1,29/000000014,"InChI=1S/C13H18N4O2/c14-15-11(18)9-13-17-16-12(19-13)8-4-7-10-5-2-1-3-6-10/h2,4-5,7,10H,1,3,6,8-9,14H2,(H,15,18)/b7-4+/t10-/m1/s1",C13H18N4O2,262,1.02,5.46,6.75,3.72,-150,3.8915973291291905,1
OC(=O)[C@@H](N)C#Cc1ncn(c1)CCNCC,24/000000140,"InChI=1S/C11H16N4O2/c1-2-13-5-6-15-7-9(14-8-15)3-4-10(12)11(16)17/h7-8,10,13H,2,5-6,12H2,1H3,(H,16,17)/t10-/m0/s1",C11H16N4O2,236,-0.34,5.43,-2.79,3.85,-170,3.9138020586518945,1
