SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Sc1nnnn1[C@@H](CNNC)c1n[nH]cn1;5/000000011;InChI=1S/C6H11N9S/c1-7-9-2-4(5-8-3-10-11-5)15-6(16)12-13-14-15/h3-4,7,9H,2H2,1H3,(H,8,10,11)(H,12,14,16)/t4-/m0/s1;C6H11N9S;241;-0.17;4.23;8.39;24.30;-170
OC(=O)/C=C/C[C@@](NO)(I)Cl;5/000000004;InChI=1S/C5H7ClINO3/c6-5(7,8-11)3-1-2-4(9)10/h1-2,8,11H,3H2,(H,9,10)/b2-1+/t5-/m0/s1;C5H7NO3ClI;291;1.30;4.24;2.93;2.22;-150
Sc1nnnn1[C@@H](CNNC)c1n[nH]cn1;5/000000014;InChI=1S/C6H11N9S/c1-7-9-2-4(5-8-3-10-11-5)15-6(16)12-13-14-15/h3-4,7,9H,2H2,1H3,(H,8,10,11)(H,12,14,16)/t4-/m0/s1;C6H11N9S;241;-0.17;4.16;8.65;24.30;-170
Sc1nnnn1[C@H](c1ccccc1)C(=O)N;5/000000005;InChI=1S/C9H9N5OS/c10-8(15)7(6-4-2-1-3-5-6)14-9(16)11-12-13-14/h1-5,7H,(H2,10,15)(H,11,13,16)/t7-/m1/s1;C9H9N5OS;235;-0.37;4.56;6.83;19.20;-150
Sc1nnnn1[C@@H](CO)/C=C/CC=C;5/000000008;InChI=1S/C8H12N4OS/c1-2-3-4-5-7(6-13)12-8(14)9-10-11-12/h2,4-5,7,13H,1,3,6H2,(H,9,11,14)/b5-4+/t7-/m1/s1;C8H12N4OS;212;0.16;4.58;5.30;5.09;-150
Sc1nnnn1[C@@H](CO)/C=C/CC=C;5/000000006;InChI=1S/C8H12N4OS/c1-2-3-4-5-7(6-13)12-8(14)9-10-11-12/h2,4-5,7,13H,1,3,6H2,(H,9,11,14)/b5-4+/t7-/m1/s1;C8H12N4OS;212;0.16;4.65;5.40;5.09;-150
Sc1nnnn1[C@@H](CO)/C=C/CC=C;5/000000007;InChI=1S/C8H12N4OS/c1-2-3-4-5-7(6-13)12-8(14)9-10-11-12/h2,4-5,7,13H,1,3,6H2,(H,9,11,14)/b5-4+/t7-/m1/s1;C8H12N4OS;212;0.16;4.74;5.39;5.09;-150
Sc1nnnn1[C@@H](CNNC)c1n[nH]cn1;5/000000012;InChI=1S/C6H11N9S/c1-7-9-2-4(5-8-3-10-11-5)15-6(16)12-13-14-15/h3-4,7,9H,2H2,1H3,(H,8,10,11)(H,12,14,16)/t4-/m0/s1;C6H11N9S;241;-0.17;4.07;8.56;24.30;-170
OC(=O)[C@H](CN)c1nncs1;5/000000002;InChI=1S/C5H7N3O2S/c6-1-3(5(9)10)4-8-7-2-11-4/h2-3H,1,6H2,(H,9,10)/t3-/m1/s1;C5H7N3O2S;173;-0.24;4.01;5.85;2.22;-150
OC(=O)[C@H](CN)c1nncs1;5/000000001;InChI=1S/C5H7N3O2S/c6-1-3(5(9)10)4-8-7-2-11-4/h2-3H,1,6H2,(H,9,10)/t3-/m1/s1;C5H7N3O2S;173;-0.24;4.01;5.85;2.22;-150
OC(=O)/C=C/C[C@@](CO)(I)Cl;5/000000003;InChI=1S/C6H8ClIO3/c7-6(8,4-9)3-1-2-5(10)11/h1-2,9H,3-4H2,(H,10,11)/b2-1+/t6-/m0/s1;C6H8O3ClI;290;1.20;4.24;3.54;2.22;-150
Sc1nnnn1[C@@H](CO)/C=C/CC=C;5/000000009;InChI=1S/C8H12N4OS/c1-2-3-4-5-7(6-13)12-8(14)9-10-11-12/h2,4-5,7,13H,1,3,6H2,(H,9,11,14)/b5-4+/t7-/m1/s1;C8H12N4OS;212;0.16;4.27;5.19;5.09;-150
Sc1nnnn1[C@@H](CNNC)c1n[nH]cn1;5/000000013;InChI=1S/C6H11N9S/c1-7-9-2-4(5-8-3-10-11-5)15-6(16)12-13-14-15/h3-4,7,9H,2H2,1H3,(H,8,10,11)(H,12,14,16)/t4-/m0/s1;C6H11N9S;241;-0.17;4.32;8.84;24.30;-170
Sc1nnnn1[C@@H](CNNC)c1n[nH]cn1;5/000000010;InChI=1S/C6H11N9S/c1-7-9-2-4(5-8-3-10-11-5)15-6(16)12-13-14-15/h3-4,7,9H,2H2,1H3,(H,8,10,11)(H,12,14,16)/t4-/m0/s1;C6H11N9S;241;-0.17;4.17;8.44;24.30;-170
OC(=O)c1ccc(cc1C(=O)Nc1ccccc1N(=O)=O)N;10/000000005;InChI=1S/C14H11N3O5/c15-8-5-6-9(14(19)20)10(7-8)13(18)16-11-3-1-2-4-12(11)17(21)22/h1-7H,15H2,(H,16,18)(H,19,20);C14H11N3O5;301;1.68;4.09;-7.62;3.58;-60
N1C(=NO[C@@H]1CF)CC/C=C/C[NH3+];10/000000011;InChI=1S/C8H14FN3O/c9-6-8-11-7(12-13-8)4-2-1-3-5-10/h1,3,8H,2,4-6,10H2,(H,11,12)/p+1/b3-1+/t8-/m1/s1;C8H15N3OF;188;1.21;4.03;-0.17;3.58;-150
N1C(=NO[C@@H]1CBr)CC/C=C/C[NH3+];10/000000024;InChI=1S/C8H14BrN3O/c9-6-8-11-7(12-13-8)4-2-1-3-5-10/h1,3,8H,2,4-6,10H2,(H,11,12)/p+1/b3-1+/t8-/m1/s1;C8H15N3OBr;249;1.69;4.25;-0.03;3.58;-150
c1nc(ncc1[C@H]([NH3+])Br)N;10/000000008;InChI=1S/C5H7BrN4/c6-4(7)3-1-9-5(8)10-2-3/h1-2,4H,7H2,(H2,8,9,10)/p+1/t4-/m0/s1;C5H8N4Br;204;-0.39;4.20;5.43;1.00;-150
N1C(=NO[C@@H]1CF)CC/C=C/C[NH3+];10/000000014;InChI=1S/C8H14FN3O/c9-6-8-11-7(12-13-8)4-2-1-3-5-10/h1,3,8H,2,4-6,10H2,(H,11,12)/p+1/b3-1+/t8-/m1/s1;C8H15N3OF;188;1.21;4.03;-1.14;3.58;-150
OC(=O)c1ccc(cc1c1cc(n(c1)CCCCO)C(=O)CN)N;10/000000028;InChI=1S/C17H21N3O4/c18-9-16(22)15-7-11(10-20(15)5-1-2-6-21)14-8-12(19)3-4-13(14)17(23)24/h3-4,7-8,10,21H,1-2,5-6,9,18-19H2,(H,23,24);C17H21N3O4;331;0.54;4.62;-6.22;3.58;-160
OC(=O)c1ccc(cc1C(=O)Nc1ccccc1N(=O)=O)N;10/000000004;InChI=1S/C14H11N3O5/c15-8-5-6-9(14(19)20)10(7-8)13(18)16-11-3-1-2-4-12(11)17(21)22/h1-7H,15H2,(H,16,18)(H,19,20);C14H11N3O5;301;1.68;4.04;-7.96;3.58;-60
O[C@H](C[NH3+])CC#CCc1nncs1;10/000000034;InChI=1S/C8H11N3OS/c9-5-7(12)3-1-2-4-8-11-10-6-13-8/h6-7,12H,3-5,9H2/p+1/t7-/m0/s1;C8H12N3OS;198;0.40;4.17;-0.97;2.22;-150
Oc1cc(C(=O)N)cc(c1C(=O)C)CC#CC[NH3+];10/000000020;InChI=1S/C13H14N2O3/c1-8(16)12-9(4-2-3-5-14)6-10(13(15)18)7-11(12)17/h6-7,17H,4-5,14H2,1H3,(H2,15,18)/p+1;C13H15N2O3;247;-0.06;4.09;-2.83;3.58;-20
OC(=O)C[C@H]([NH3+])C#CCC1=CCC=C1;10/000000027;InChI=1S/C11H13NO2/c12-10(8-11(13)14)7-3-6-9-4-1-2-5-9/h1,4-5,10H,2,6,8,12H2,(H,13,14)/p+1/t10-/m1/s1;C11H14NO2;192;0.18;4.07;-0.64;16.20;-150
O[C@H](C[NH3+])CC#CCc1nncs1;10/000000032;InChI=1S/C8H11N3OS/c9-5-7(12)3-1-2-4-8-11-10-6-13-8/h6-7,12H,3-5,9H2/p+1/t7-/m0/s1;C8H12N3OS;198;0.40;4.18;-0.91;2.22;-150
Oc1cc(C(=O)N)cc(c1)CC#CC[NH3+];10/000000006;InChI=1S/C11H12N2O2/c12-4-2-1-3-8-5-9(11(13)15)7-10(14)6-8/h5-7,14H,3-4,12H2,(H2,13,15)/p+1;C11H13N2O2;205;0.10;4.01;-1.58;2.22;0
N1C(=NO[C@@H]1CF)CC/C=C/C[NH3+];10/000000016;InChI=1S/C8H14FN3O/c9-6-8-11-7(12-13-8)4-2-1-3-5-10/h1,3,8H,2,4-6,10H2,(H,11,12)/p+1/b3-1+/t8-/m1/s1;C8H15N3OF;188;1.21;4.11;0.65;3.58;-150
N1C(=NO[C@@H]1CF)CC/C=C/C[NH3+];10/000000015;InChI=1S/C8H14FN3O/c9-6-8-11-7(12-13-8)4-2-1-3-5-10/h1,3,8H,2,4-6,10H2,(H,11,12)/p+1/b3-1+/t8-/m1/s1;C8H15N3OF;188;1.21;4.00;-1.20;3.58;-150
Oc1cc(C(=O)N)cc(c1C(=O)C)CC#CC[NH3+];10/000000022;InChI=1S/C13H14N2O3/c1-8(16)12-9(4-2-3-5-14)6-10(13(15)18)7-11(12)17/h6-7,17H,4-5,14H2,1H3,(H2,15,18)/p+1;C13H15N2O3;247;-0.06;4.02;-2.93;3.58;-20
N1C(=NO[C@@H]1CBr)CC/C=C/C[NH3+];10/000000025;InChI=1S/C8H14BrN3O/c9-6-8-11-7(12-13-8)4-2-1-3-5-10/h1,3,8H,2,4-6,10H2,(H,11,12)/p+1/b3-1+/t8-/m1/s1;C8H15N3OBr;249;1.69;4.18;-1.04;3.58;-150
OC(=O)/C=C/Cc1c(Cl)nc([nH]1)c1cc(N)ccc1C(=O)O;10/000000001;InChI=1S/C14H12ClN3O4/c15-12-10(2-1-3-11(19)20)17-13(18-12)9-6-7(16)4-5-8(9)14(21)22/h1,3-6H,2,16H2,(H,17,18)(H,19,20)(H,21,22)/b3-1+;C14H12N3O4Cl;321;1.70;4.07;-5.82;23.00;-160
N1C(=NO[C@@H]1CBr)CC/C=C/C[NH3+];10/000000026;InChI=1S/C8H14BrN3O/c9-6-8-11-7(12-13-8)4-2-1-3-5-10/h1,3,8H,2,4-6,10H2,(H,11,12)/p+1/b3-1+/t8-/m1/s1;C8H15N3OBr;249;1.69;4.17;-1.50;3.58;-170
c1nc(ncc1[C@H]([NH3+])Br)N;10/000000007;InChI=1S/C5H7BrN4/c6-4(7)3-1-9-5(8)10-2-3/h1-2,4H,7H2,(H2,8,9,10)/p+1/t4-/m0/s1;C5H8N4Br;204;-0.39;4.20;5.43;1.00;-150
O[C@H](C[NH3+])CC#CCc1nncs1;10/000000033;InChI=1S/C8H11N3OS/c9-5-7(12)3-1-2-4-8-11-10-6-13-8/h6-7,12H,3-5,9H2/p+1/t7-/m0/s1;C8H12N3OS;198;0.40;4.17;-0.72;2.22;-150
Oc1cc(C(=O)N)cc(c1C(=O)C)CC#CC[NH3+];10/000000019;InChI=1S/C13H14N2O3/c1-8(16)12-9(4-2-3-5-14)6-10(13(15)18)7-11(12)17/h6-7,17H,4-5,14H2,1H3,(H2,15,18)/p+1;C13H15N2O3;247;-0.06;4.09;-2.74;3.58;-20
Oc1cc(C(=O)N)cc(c1C(=O)C)CC#CC[NH3+];10/000000023;InChI=1S/C13H14N2O3/c1-8(16)12-9(4-2-3-5-14)6-10(13(15)18)7-11(12)17/h6-7,17H,4-5,14H2,1H3,(H2,15,18)/p+1;C13H15N2O3;247;-0.06;4.00;-3.49;3.58;-20
O[C@H](C[NH3+])CC#CCc1nncs1;10/000000031;InChI=1S/C8H11N3OS/c9-5-7(12)3-1-2-4-8-11-10-6-13-8/h6-7,12H,3-5,9H2/p+1/t7-/m0/s1;C8H12N3OS;198;0.40;4.06;-1.81;2.22;-150
N1C(=NO[C@@H]1CF)CC/C=C/C[NH3+];10/000000012;InChI=1S/C8H14FN3O/c9-6-8-11-7(12-13-8)4-2-1-3-5-10/h1,3,8H,2,4-6,10H2,(H,11,12)/p+1/b3-1+/t8-/m1/s1;C8H15N3OF;188;1.21;4.18;0.19;3.58;-150
Oc1cc(C(=O)N)cc(c1C(=O)C)CC#CC[NH3+];10/000000021;InChI=1S/C13H14N2O3/c1-8(16)12-9(4-2-3-5-14)6-10(13(15)18)7-11(12)17/h6-7,17H,4-5,14H2,1H3,(H2,15,18)/p+1;C13H15N2O3;247;-0.06;4.20;-1.52;3.58;-20
OC(=O)c1ccc(cc1c1cc(n(c1)CCCCO)C(=O)CN)N;10/000000029;InChI=1S/C17H21N3O4/c18-9-16(22)15-7-11(10-20(15)5-1-2-6-21)14-8-12(19)3-4-13(14)17(23)24/h3-4,7-8,10,21H,1-2,5-6,9,18-19H2,(H,23,24);C17H21N3O4;331;0.54;4.63;-6.18;3.58;-160
OC(=O)/C=C/Cc1c(Cl)nc([nH]1)c1cc(N)ccc1C(=O)O;10/000000003;InChI=1S/C14H12ClN3O4/c15-12-10(2-1-3-11(19)20)17-13(18-12)9-6-7(16)4-5-8(9)14(21)22/h1,3-6H,2,16H2,(H,17,18)(H,19,20)(H,21,22)/b3-1+;C14H12N3O4Cl;321;1.70;4.59;-5.43;23.00;-180
OC(=O)c1ccc(cc1c1cc(n(c1)CCCCO)C(=O)CN)N;10/000000030;InChI=1S/C17H21N3O4/c18-9-16(22)15-7-11(10-20(15)5-1-2-6-21)14-8-12(19)3-4-13(14)17(23)24/h3-4,7-8,10,21H,1-2,5-6,9,18-19H2,(H,23,24);C17H21N3O4;331;0.54;4.71;-5.76;3.58;-160
OC(=O)/C=C/Cc1c(Cl)nc([nH]1)c1cc(N)ccc1C(=O)O;10/000000002;InChI=1S/C14H12ClN3O4/c15-12-10(2-1-3-11(19)20)17-13(18-12)9-6-7(16)4-5-8(9)14(21)22/h1,3-6H,2,16H2,(H,17,18)(H,19,20)(H,21,22)/b3-1+;C14H12N3O4Cl;321;1.70;5.07;-5.73;23.00;-160
N1C(=NO[C@@H]1CF)CC/C=C/C[NH3+];10/000000009;InChI=1S/C8H14FN3O/c9-6-8-11-7(12-13-8)4-2-1-3-5-10/h1,3,8H,2,4-6,10H2,(H,11,12)/p+1/b3-1+/t8-/m1/s1;C8H15N3OF;188;1.21;4.10;0.32;3.58;-150
