SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Sc1nnc(o1)[C@@H](C(=O)OCc1noc(c1)CC(=O)C)N,30/000000101,"InChI=1S/C11H12N4O5S/c1-5(16)2-7-3-6(15-20-7)4-18-10(17)8(12)9-13-14-11(21)19-9/h3,8H,2,4,12H2,1H3,(H,14,21)/t8-/m0/s1",C11H12N4O5S,312,0.08,5.96,2.64,3.7,-170,3.7723368770279215,1
O[C@H](CNCc1cc(Cl)cc(c1)Cl)c1nnc(o1)S,30/000000132,"InChI=1S/C11H11Cl2N3O2S/c12-7-1-6(2-8(13)3-7)4-14-5-9(17)10-15-16-11(19)18-10/h1-3,9,14,17H,4-5H2,(H,16,19)/t9-/m1/s1",C11H11N3O2SCl2,319,3.2,5.67,-1.7,2.22,-150,3.3477639157501162,1
N(C[C@@H]([NH3+])F)NCCCOC(=O)c1ccc(cc1)Cl,28/000000002,"InChI=1S/C12H17ClFN3O2/c13-10-4-2-9(3-5-10)12(18)19-7-1-6-16-17-8-11(14)15/h2-5,11,16-17H,1,6-8,15H2/p+1/t11-/m1/s1",C12H18N3O2FCl,290,2.84,5.57,-0.75,2.22,-170,3.2732689955759513,1
Sc1nnc(o1)[C@@H](C(=O)OCc1nocc1C/C=C\C)N,30/000000195,"InChI=1S/C12H14N4O4S/c1-2-3-4-7-5-19-16-8(7)6-18-11(17)9(13)10-14-15-12(21)20-10/h2-3,5,9H,4,6,13H2,1H3,(H,15,21)/b3-2-/t9-/m0/s1",C12H14N4O4S,310,1.27,5.55,2.03,3.7,-170,4.252350863450616,1
OC/C=C\c1onc(c1)COC(=O)[C@H](c1nnc(o1)S)N,30/000000165,"InChI=1S/C11H12N4O5S/c12-8(9-13-14-11(21)19-9)10(17)18-5-6-4-7(20-15-6)2-1-3-16/h1-2,4,8,16H,3,5,12H2,(H,14,21)/b2-1-/t8-/m0/s1",C11H12N4O5S,312,0.18,5.49,1.43,3.7,-170,4.009700537505375,1
Sc1nnc(o1)[C@@H](C(=O)OCc1nocc1COCNCC)N,30/000000125,"InChI=1S/C12H17N5O5S/c1-2-14-6-19-3-7-4-21-17-8(7)5-20-11(18)9(13)10-15-16-12(23)22-10/h4,9,14H,2-3,5-6,13H2,1H3,(H,16,23)/t9-/m0/s1",C12H17N5O5S,343,0.18,5.44,-0.04,5.21,-170,4.200425565786683,1
Sc1nnc(o1)[C@@H](C(=O)OCc1nocc1CNCC=C)N,30/000000153,"InChI=1S/C12H15N5O4S/c1-2-3-14-4-7-5-20-17-8(7)6-19-11(18)9(13)10-15-16-12(22)21-10/h2,5,9,14H,1,3-4,6,13H2,(H,16,22)/t9-/m0/s1",C12H15N5O4S,325,0.42,5.42,-1.33,3.7,-190,4.150991440513064,1
Oc1noc(c1)[C@@H](C/C=C/NCC1=CCOC1=O)c1ccccc1,3/000000103,"InChI=1S/C18H18N2O4/c21-17-11-16(24-20-17)15(13-5-2-1-3-6-13)7-4-9-19-12-14-8-10-23-18(14)22/h1-6,8-9,11,15,19H,7,10,12H2,(H,20,21)/b9-4+/t15-/m0/s1",C18H18N2O4,326,2.62,5.4,2.07,4.94,-150,3.9334389518324535,1
Oc1c(O)c(S)cc(c1)N(=O)=O,12/000000041,"InChI=1S/C6H5NO4S/c8-4-1-3(7(10)11)2-5(12)6(4)9/h1-2,8-9,12H",C6H5NO4S,187,1.48,5.26,8.41,1.11,0,2.856003099869376,1
Oc1noc(c1)[C@@H](C/C=C/NCC1=CCOC1=O)C(=C)N(=O)=O,3/000000088,"InChI=1S/C14H15N3O6/c1-9(17(20)21)11(12-7-13(18)16-23-12)3-2-5-15-8-10-4-6-22-14(10)19/h2,4-5,7,11,15H,1,3,6,8H2,(H,16,18)/b5-2+/t11-/m0/s1",C14H15N3O6,321,1.41,5.2,3.04,6.17,-150,4.673417603508577,1
Oc1c(I)nc(cc1)[C@H]([NH3+])c1cnc([nH]1)S,30/000000274,"InChI=1S/C9H9IN4OS/c10-8-6(15)2-1-4(13-8)7(11)5-3-12-9(16)14-5/h1-3,7,15H,11H2,(H2,12,14,16)/p+1/t7-/m0/s1",C9H10N4OSI,349,0.65,5.16,7.51,17.1,-150,4.868690007806151,1
C#Cc1cc(c(cc1[C@H](c1cccc(c1)Cl)O)O)CCCO,17/000000251,"InChI=1S/C18H17ClO3/c1-2-12-9-13(6-4-8-20)17(21)11-16(12)18(22)14-5-3-7-15(19)10-14/h1,3,5,7,9-11,18,20-22H,4,6,8H2/t18-/m0/s1",C18H17O3Cl,316,3.2,5.15,-6.46,16.9,-170,3.141636516378499,1
Sc1nnc(o1)[C@@H](C(=O)OCc1nocc1)N,30/000000023,"InChI=1S/C8H8N4O4S/c9-5(6-10-11-8(17)16-6)7(13)14-3-4-1-2-15-12-4/h1-2,5H,3,9H2,(H,11,17)/t5-/m0/s1",C8H8N4O4S,256,0.38,5.1,3.75,2.35,-150,3.9555129219906844,1
Sc1nnc(o1)[C@@H](C(=O)OCCS)N,30/000000039,"InChI=1S/C6H9N3O3S2/c7-3(5(10)11-1-2-13)4-8-9-6(14)12-4/h3,13H,1-2,7H2,(H,9,14)/t3-/m0/s1",C6H9N3O3S2,235,0.7,5.09,4.67,2.35,-150,4.107360984546719,1
OCc1nnc([nH]1)[C@@H](CNCCNCCO)Oc1cccc(c1)Br,17/000000037,"InChI=1S/C15H22BrN5O3/c16-11-2-1-3-12(8-11)24-13(9-18-5-4-17-6-7-22)15-19-14(10-23)20-21-15/h1-3,8,13,17-18,22-23H,4-7,9-10H2,(H,19,20,21)/t13-/m1/s1",C15H22N5O3Br,400,1.3,5.09,-1.4,3.58,-190,3.507997413370914,1
Sc1nnc(o1)[C@@H](COc1ncccc1N)O,30/000000143,"InChI=1S/C9H10N4O3S/c10-5-2-1-3-11-7(5)15-4-6(14)8-12-13-9(17)16-8/h1-3,6,14H,4,10H2,(H,13,17)/t6-/m1/s1",C9H10N4O3S,254,1.01,5.03,4.29,2.22,-150,3.5913475373752997,1
S[C@@H](/C=C/1\NC(=O)N(C1=O)CC=C)C(=O)O,17/000000002,"InChI=1S/C9H10N2O4S/c1-2-3-11-7(12)5(10-9(11)15)4-6(16)8(13)14/h2,4,6,16H,1,3H2,(H,10,15)(H,13,14)/b5-4-/t6-/m0/s1",C9H10N2O4S,242,-0.24,5.03,-0.08,3.58,-150,3.849276820992965,1
[nH]1c(nnc1CNCCCN)CC#Cc1ccc([nH]1)C[NH3+],17/000000032,"InChI=1S/C14H21N7/c15-7-2-8-17-10-14-19-13(20-21-14)4-1-3-11-5-6-12(9-16)18-11/h5-6,17-18H,2,4,7-10,15-16H2,(H,19,20,21)/p+1",C14H22N7,288,0.52,5.02,-0.15,24.8,-40,4.164216129889924,1
Oc1noc(c1)[C@@H](C/C=C/NCC1=CCOC1=O)c1[nH]ccc1,3/000000082,"InChI=1S/C16H17N3O4/c20-15-9-14(23-19-15)12(13-4-2-7-18-13)3-1-6-17-10-11-5-8-22-16(11)21/h1-2,4-7,9,12,17-18H,3,8,10H2,(H,19,20)/b6-1+/t12-/m0/s1",C16H17N3O4,315,1.43,5.01,3.49,6.17,-150,4.43737487604015,1
Oc1noc(c1)[C@@H](C/C=C/NCC1=CCOC1=O)C1=CCNCN1,3/000000080,"InChI=1S/C16H20N4O4/c21-15-8-14(24-20-15)12(13-3-6-18-10-19-13)2-1-5-17-9-11-4-7-23-16(11)22/h1,3-5,8,12,17-19H,2,6-7,9-10H2,(H,20,21)/b5-1+/t12-/m0/s1",C16H20N4O4,332,0.69,4.99,2.94,6.17,-150,4.866248402381904,1
N(Cc1nnc[nH]1)OCc1oc(nc1)[C@H](C)N(=O)=O,17/000000182,"InChI=1S/C9H12N6O4/c1-6(15(16)17)9-10-2-7(19-9)4-18-13-3-8-11-5-12-14-8/h2,5-6,13H,3-4H2,1H3,(H,11,12,14)/t6-/m0/s1",C9H12N6O4,268,0.83,4.97,4.06,2.35,-170,4.494072527264388,1
